Metric,Q1_2025,Q1_2024,YoY_Change_Percent
Revenue (Billion USD),19.34,21.3,-9.2
Automotive Revenue (Billion USD),13.97,17.4,-19.7
Net Income (Million USD),409.0,1390.0,-70.6
EPS (USD),0.27,0.41,-34.1
Gross Margin (%),16.3,17.4,-6.3
Operating Margin (%),2.1,6.5,-67.7
Regulatory Credits (Million USD),595.0,890.0,-33.1
Cash and Investments (Billion USD),37.0,32.9,12.5
Deliveries (Units),336000.0,423000.0,-20.6
Production (Units),362000.0,433000.0,-16.4
